abandon	(v) bỏ, từ bỏ
skirt t(n) váy, đầm
skyt(n) trời, bầu trời
sleep t(v) (n) ngủ; giấc ngủ
sleevet(n) tay áo, ống tay
slice t(n) (v) miếng, lát mỏng; cắt ra thành miếng mỏng, lát mỏng
slide t(v) trượtc, chuyển động nhẹ, lướt qua
slightt(adj) mỏng manh, thon, gầy
slightly	t(adv) mảnh khảnh, mỏng manh, yếu ớt
slipt(v) trượt, tuột, trôi qua, chạy qua
slope t(n) (v) dốc, đường dốc, độ dốc; nghiêng, dốc
slowt(adj) chậm, chậm chạp
slowlyt(adv) một cách chậm chạp, chậm dần
smart t(adj) mạnh, ác liệt,khéo léo, nhanh trí
smash t(v) (n) đập, vỡ tan thành mảnh; sự đập, vỡ tàn thành mảnh
smell t(v) (n) ngửi; sự ngửi, khứu giác
smile t(v) (n) cười, mỉm cười; nụ cười, vẻ tươi cười
smoke t(n) (v) khói, hơi thuốc; hút thuốc, bốc khói, hơi
smoking t(n) sự hút thuốc
smootht(adj) nhẵn, trơn, mượt mà
smoothly	t(adv) một cách êm ả, trôi chảy
snake t(n) con rắn; người nham hiểm, xảo trá
snowt(n) (v) tuyết; tuyết rơi
so t(adv) (conj) như vậy, như thế; vì thế, vì vậy, vì thế cho nên
so that tđể, để cho, để mà
soapt(n) xà phòng
socialt(adj) có tính xã hội
socially	t(adv) có tính xã hội
society t(n) xã hội
sockt(n) tất ngắn, miếng lót giày
softt(adj) mềm, dẻo
softlyt(adv) một cách mềm dẻo
software	t(n) phần mềm (máy tính)
soilt(n) đất trồng; vết bẩn
soldier t(n) lính, quân nhân
solid t(adj) (n) rắn; thể rắn, chất rắn
solution	t(n) sự giải quyết, giải pháp
solve t(v) giải, giải thích, giải quyết
sometpro(n) một it, một vài
somehow t(adv) không biết làm sao, bằng cách này hay cách khác
somebody	tpro(n) người nào đó
somethingtpro(n) một điều gì đó, một việc gì đó, một cái gì đó
sometimest(adv) thỉnh thoảng, đôi khi
somewhat	t(adv) đến mức độ nào đó, hơi, một chút
somewheret(adv) nơi nào đó. đâu đó
soont(adv) sớm, chẳng bao lâu nữa
as soon as tngay khi
soret(adj) đau, nhức
sorry t(adj) xin lỗi, lấy làm tiếc, lấy làm buồn
sortt(n) (v) thứ, hạng loại; lựa chọn, sắp xếp, phân loại
soult(n) tâm hồn, tâm trí, linh hồn
sound t(n) (v) âm thanh; nghe
soupt(n) xúp, canh, cháo
sourt(adj) chua, có vị giấm
sourcet(n) nguồn
south t(n) (adj) (adv) phương Nam, hướng Nam; ở phía Nam
southern	t(adj) thuộc phương Nam
space t(n) khoảng trống, khoảng cách
spare t(adj) (n) thừa thãi, dự trữ, rộng rãi; đồ dự trữ, đồ dự phòng
speak t(v) nói
spokent(adj) nói theo 1 cách nào đó
speaker t(n) người nói, người diễn thuyết
special t(adj) đặc biệt, riêng biệt
speciallyt(adv) đặc biệt, riêng biệt
specialist t(n) chuyên gia, chuyên viên
specific	t(adj) đặc trưng, riêng biệt
specificallyt(adv) đặc trưng, riêng biệt
speecht(n) sự nói, khả năng nói, lời nói, cách nói, bài nói
speed t(n) tốc độ, vận tốc
spell t(v) (n) đánh vần; sự thu hút, sự quyến rũ, say mê
spelling	t(n) sự viết chính tả
spend t(v) tiêu, xài
spice t(n) gia vị
spicy t(adj) có gia vị
spidert(n) con nhện
spint(v) quay, quay tròn
spiritt(n) tinh thần, tâm hồn, linh hồn
spiritualt(adj) (thuộc) tinh thần, linh hồn
spite t(n) sự giận, sự hận thù
in spite oftmặc dù, bất chấp
split t(v) (n) chẻ, tách, chia ra; sự chẻ, sự tách, sự chia ra
spoil t(v) cướp, cướp đọat
spoon t(n) cái thìa
spott(n) dấu, đốm, vết
spray t(n) (v) máy, ống, bình phụt, bơm, phun; bơm, phun, xịt
spreadt(v) trải, căng ra, bày ra; truyền bá
springt(n) mùa xuân
squaret(adj) (n) vuông, vuông vắn; dạng hình vuông, hình vuông
squeeze t(v) (n) ép, vắt, xiết; sự ép, sự vắt, sự xiết
stablet(adj) (n) ổn định, bình tĩnh, vững vàng; chuồng ngưa
staff t(n) gậy quyền, quyền trượng, nhân viên, cán bộ
stage t(n) tầng, bệ
stair t(n) bậc thang
stamp t(n) (v) tem; dán tem
stand t(v) (n) đứng, sự đứng
stand up	tđứng dậy
standard	t(n) (adj) tiêu chuẩn, chuẩn, mãu; làm tiêu chuẩn, phù hợp với tiêu chuẩn
start(n) (v) ngôi sao, dán sao, trang trí hình sao, đánh dấu sao
stare t(v) (n) nhìn chằm chằm; sự nhìn chằm chằm
start t(v) (n) bắt đầu, khởi động; sự bắt đầu, sự khởi đầu, khởi hành
state t(n) (adj) (v) nhà nước, quốc gia, chính quyền; (thuộc) nhà nước, phát biểu
statementt(n) sự bày tỏ, sự phát biểu; sự tuyên bố, sự trình bày
station t(n) trạm, điểm, đồn
statuet(n) tượng
statust(n) tình trạng, địa vị, thân phận
stayt(v) (n) ở lại, lưu lại; sự ở lại, sự lưu lại
steadyt(adj) vững chắc, vững vàng, kiến định
steadily	t(adv) vững chắc, vững vàng, kiên định
unsteady	t(adj) không đúng mực, không chắc, không vững
steal t(v) ăn cắp, ăn trộm
steam t(n) hơi nước
steel t(n) thép, ngành thép
steep t(adj) dốc, dốc đứng
steeply t(adv) dốc, cheo leo
steer t(v) lái (tàu, ô tô...), hướng dẫn; hướng theo
stept(n) (v) bước; bước, bước đi
stick t(v) (n) đâm, thọc, chọc, cắm, dính; cái gậy, qua củi, cán
stick out for tđòi, đạt được cái gì
stickyt(adj) dính, nhớt
stiff t(adj) cứng, cứng rắn, kiên quyết
stiffly t(adv) cứng, cứng rắn, kiên quyết
still t(adv) (adj) đứng yên; vẫn, vẫn còn
sting t(v) (n) châm, chích, đốt; ngòi, vòi (ong, muỗi), nọc (rắn); sự châm, chích
stirt(v) khuấy, đảo
stock t(n) kho sự trữ, hàng dự trữ, vốn
stomach t(n) dạ dày
stone t(n) đá
stopt(v) (n) dừng, ngừng, nghỉ, thôi; sự dừng, sự ngừng, sự đỗ lại
store t(n) (v) cửa hàng, kho hàng; tích trữ, cho vào kho
storm t(n) cơn giông, bão
story t(n) chuyện, câu chuyện
stove t(n) bếp lò, lò sưởi
straight	t(adv) (adj) thẳng, không cong
straint(n) sự căng thẳng, sự căng
strange t(adj) xa lạ, chưa quen
strangelyt(adv) lạ, xa lạ, chưa quen
stranger	t(n) người lạ
strategy	t(n) chiến lược
streamt(n) dòng suối
streett(n) phố, đườmg phố
strength	t(n) sức mạnh, sức khỏe
stresst(n) (v) sự căng thẳng; căng thẳng, ép, làm căng
stressed	t(adj) bị căng thẳng, bị ép, bị căng
stretch t(v) căng ra, duỗi ra, kéo dài ra
strictt(adj) nghiêm khắc, chặt chẽ, khắt khe
strictly	t(adv) một cách nghiêm khắc
striket(v) (n) đánh, đập, bãi công, đình công; cuộc bãi công, cuộc đình công
striking	t(adj) nổi bật, gây ấn tượng
stringt(n) dây, sợi dây
strip t(v) (n) cởi, lột (quần áo); sự cởi quần áo
stripet(n) sọc, vằn, viền
striped t(adj) có sọc, có vằn
stroket(n) (v) cú đánh, cú đòn; cái vuốt ve, sự vuốt ve; vuốt ve
strongt(adj) khỏe, mạnh, bền, vững, chắc chắn
strongly	t(adv) khỏe, chắc chắn
structuret(n) kết cấu, cấu trúc
struggle	t(v) (n) đấu tranh; cuộc đấu tranh, cuộc chiến đấu
studiot(n) xưởng phim, trường quay; phòng thu
study t(n) (v) sự học tập, sự nghiên cứu; học tập, nghiên cứu
stuff t(n) chất liệu, chất
stupidt(adj) ngu ngốc, ngu đần, ngớ ngẩn
style t(n) phong cách, kiểu, mẫu, loại
subject t(n) chủ đề, đề tài; chủ ngữ
substancet(n) chất liệu; bản chất; nội dung
substantialt(adj) thực tế, đáng kể, quan trọng
substantially t(adv) về thực chất, về căn bản
substitute t(n) (v) người, vật thay thế; thay thế
succeed t(v) nối tiếp, kế tiếp; kế nghiệp, kế vị
success t(n) sự thành công, sự thành đạt
successful t(adj) thành công, thắng lợi, thành đạt
successfullyt(adv) thành công, thắng lợi, thành đạt
unsuccessfult(adj) không thành công, thất bại
suchtpro(n) như thế, như vậy, như là
such as tđến nỗi, đến mức
suckt(v) bú, hút; hấp thụ, tiếp thu
suddent(adj) thình lình, đột ngột
suddenly	t(adv) thình lình, đột ngột
suffert(v) chịu đựng, chịu thiệt hại, đau khổ
sufferingt(n) sự đau đớn, sự đau khổ
sufficient fort(adj) đủ, thích đáng
sufficientlyt(adv) đủ, thích đáng
sugar t(n) đường
suggest t(v) đề nghị, đề xuất; gợi
suggestion t(n) sự đề nghị, sự đề xuất, sự khêu gợi
suitt(n) (v) bộ com lê, trang phục; thích hợp, quen, hợp với
suitedt(adj) hợp, phù hợp, thích hợp với
suitable	t(adj) hợp, phù hợp, thích hợp với
suitcase	t(n) va li
sumt(n) tổng, toàn bộ
summary t(n) bản tóm tắt
summert(n) mùa hè
superior	t(n) (adj) cao hơn, mạnh hơn,người cấp trên,thượng cấp
supermarkett(n) siêu thị
supplyt(n) (v) sự cung cấp, nguồn cung cấp; cung cấp, đáp ứng, tiếp tế
support t(n) (v) sự chống đỡ, sự ủng hộ; chống đỡ, ủng hộ
supportert(n) vật chống đỡ; người cổ vũ, người ủng hộ
suppose t(v) cho rằng, tin rằng, nghĩ rằng
suret(adj) (adv) chắc chắn, xác thực
make suretchắc chắn, làm cho chắc chắn
surelyt(adv) chắc chắn
surface t(n) mặt, bề mặt
surname t(n) họ
surprise	t(n) (v) sự ngạc nhiên, sự bất ngờ; làm ngạc nhiên
surprising t(adj) làm ngạc nhiên, làm bất ngờ
surprisinglyt(adv) làm ngạc nhiên, làm bất ngờ
surprised att(adj) ngạc nhiên
surround	t(v) vây quanh, bao quanh
surroundingt(adj) bao quanh, vây quanh; ngoại vi
surroundingst(n) vùng xung quanh, môi trường xung quanh
surveyt(n) (v) sự nhìn chung, sự khảo sát; quan sát, nghiên cứu
survive t(v) sống lâu hơn, tiếp tục sống, sống sót
suspect t(v) (n) nghi ngờ, hoài nghi; người khả nghi, người bị tình nghi
suspiciont(n) sự nghi ngờ, sự ngờ vực
suspicious t(adj) có sự nghi ngờ, tỏ ra nghi ngờ, khả nghi
swallow t(v) nuốt, nuốt chửng
swear t(v) chửi rủa, nguyền rủa; thề, hứa
swearing	t(n) lời thề, lời nguyền rủa, lời thề hứa
sweat t(n) (v) mồ hôi; đổ mồ hô
sweater t(n) người ra mồ hôi,kẻ bóc lột lao động
sweep t(v) quét
sweet t(adj) (n) ngọt, có vị ngọt; sự ngọt bùi, đồ ngọt
swell t(v) phồng, sưng lên
swelling	t(n) sự sưng lên, sự phồng ra
swollen t(adj) sưng phồng, phình căng
swimt(v) bơi lội
swimming	t(n) sự bơi lội
swimming pool t(n) bể nước
swing t(n) (v) sự đu đưa, lúc lắc; đánh đu, đu đưa, lúc lắc
switcht(n) (v) công tắc, roi; tắt, bật, đánh bằng gậy, roi
switch sth offtngắt điện
switch sth on tbật điện
swell t(v) phồng lên, sưng lên
symbolt(n) biểu tượng, ký hiệu
sympathetict(adj) đồng cảm, đáng mến, dễ thương
sympathy	t(n) sự đồng cảm, sự đồng ý
systemt(n) hệ thống, chế độ
table t(n) cái bàn
tablett(n) tấm, bản, thẻ phiến
tacklet(v) (n) giải quyết, khắc phục, bàn thảo; đồ dùng,dụng cụ
tailt(n) đuôi, đoạn cuối
taket(v) sự cầm nắm, sự lấy
take sth offtcởi, bỏ cái gì, lấy đi cái gì
take sth over tchở, chuyển cái gì; tiếp quản, kế tục cái gì
talkt(v) (n) nói chuyện, trò chuyện; cuộc trò chuyện, cuộc thảo luận
tankt(n) thùng, két, bể
tapt(v) (n) mở vòi, đóng vồi; vòi, khóa
tapet(n) băng, băng ghi âm; dải, dây
targett(n) bia, mục tiêu, đích
taskt(n) nhiệm vụ, nghĩa vụ, bài tập, công tác, công việc
taste t(n) (v) vị, vị giác; nếm
taxt(n) (v) thuế; đánh thuế
teat(n) cây chè, trà, chè
teach t(v) dạy
teaching	t(n) sự dạy, công việc dạy học
teacher t(n) giáo viên
teamt(n) đội, nhóm
teart(v) (n) xé, làm rắch; chỗ rách, miếng xe; nước mắt
technicalt(adj) (thuộc) kỹ thuật, chuyên môn
techniquet(n) kỹ sảo, kỹ thuật, phương pháp kỹ thuật
technology t(n) kỹ thuật học, công nghệ học
telephonet(n) (v) máy điện thoại, gọi điện thoại
television t(n) vô tuyến truyền hình
tellt(v) nói, nói với
temperaturet(n) nhiệt độ
temporaryt(n) tạm thời, nhất thời, lâm thời
temporarilyt(adv) tính chất tạm thời, nhất thời
tendt(v) trông nom, chăm sóc, giữ gìn, hầu hạ
tendency	t(n) xu hướng, chiều hướng, khuynh hướng
tension t(n) sự căng, độ căng, tình trạng căng
tentt(n) lều, rạp
termt(n) giới hạn, kỳ hạn, khóa, kỳ học
terrible	t(adj) khủng khiếp, ghê sợ
terribly	t(adv) tồi tệ, không chịu nổi
testt(n) (v) bài kiểm tra, sự thử nghiệm, xét nghiệm; kiểm tra
textt(n) nguyên văn, bản văn, chủ đề, đề tài
thant(conj) hơn
thank t(v) cám ơn
thankst(n) sự cảm ơn, lời cảm ơn
thattpro(n) (conj) người ấy, đó, vật ấy, đó; rằng, là
thetcái, con, người, ấy này, duy nhất
theatre t(n) rạp hát, nhà hát
theme t(n) đề tài, chủ đề
themselves tpro(n) tự chúng, tự họ, tự
thent(adv) khi đó, lúc đó, tiếp đó
theoryt(n) lý thuyết, học thuyết
there t(adv) ở nơi đó, tại nơi đó
thereforet(adv) bởi vậy, cho nên, vì thế
thick t(adj) dày; đậm
thickly t(adv) dày; dày đặc; thành lớp dày
thicknesst(n) tính chất dày, độ dày, bề dày
thief t(n) kẻ trộm, kẻ cắp
thint(adj) mỏng, mảnh
thing t(n) cái, đồ, vật
think t(v) nghĩ, suy nghĩ
thinking	t(n) sự suy nghĩ, ý nghĩ
thirsty t(adj) khát, cảm thấy khát
thistpro(n) cái này, điều này, việc này
thorough	t(adj) cẩn thận, kỹ lưỡng
thoroughly t(adv) kỹ lưỡng, thấu đáo, triệt để
thought(adv) dù, dù cho, mặc dù; mặc dù, tuy nhiên, tuy vậy
thought t(n) sự suy nghĩ, khả năng suy nghĩ; ý nghĩ, tư tưởng, tư duy
threadt(n) chỉ, sợi chỉ, sợi dây
threatt(n) sự đe dọa, lời đe dọa
threaten	t(v) dọa, đe dọa
threateningt(adj) sự đe dọa, sự hăm dọa
throatt(n) cổ, cổ họng
through t(adv) qua, xuyên qua
throughout t(adv) khắp nơi, từ đầu đến cuối, suốt
throw t(v) ném, vứt, quăng
throw sth awaytném đi, vứt đi, liệng đi
thumb t(n) ngón tay cái
thust(adv) như vậy, như thế, do đó
tickett(n) vé
tidyt(adj) (v) sạch sẽ, ngăn nắp, gọn gàng
untidyt(adj) không gọn gàng, không ngăn nắp, lộn xộn
tiet(v) (n) buộc, cột, trói; dây buộc, dây trói, dây giày
tie sth up tcó quan hệ mật thiết, gắn chặt
tight t(adj) (adv) kín, chặt, chật
tightly t(adv) chặc chẽ, sít sao
tilltcho đến khi, tới lúc mà
timet(n) thời gian, thì giờ
timetablet(n) kế hoạch làm việc, thời gian biểu
tint(n) thiếc
tinyt(adj) rất nhỏ, nhỏ xíu
tipt(n) (v) đầu, mút, đỉnh, chóp; bịt đầu, lắp đầu vào
tiret(v) (n) làm mệt mỏi, trở nên mệt nhọc; lốp, vỏ xe
tiringt(adj) sự mệt mỏi, sự mệt nhọc
tired t(adj) mệt, muốn ngủ, nhàm chán
title t(n) đầu đề, tiêu đề; tước vị, tư cách
toet(n) ngón chân (người)
together	t(adv) cùng nhau, cùng với
toilett(n) nhà vệ sinh; sự trang điểm (rửa mặt, ăn mặc, chải tóc...)
tomatot(n) cà chua
tomorrow	t(adv) (n) vào ngày mai; ngày mai
tont(n) tấn
tonet(n) tiếng, giọng
tonguet(n) lưỡi
tonne t(n) tấn
toolt(n) dụng cụ, đồ dùng
tooth t(n) răng
topt(n) (adj) chóp, đỉnh; đứng đầu, trên hết
topic t(n) đề tài, chủ đề
total t(adj) (n) tổng cộng, toàn bộ; tổng số, toàn bộ số lượng
totally t(adv) hoàn toàn
touch t(v) (n) sờ, mó, tiếp xúc; sự sờ, sự mó, sự tiếp xúc
tough t(adj) chắc, bền, dai
tourt(n) (v) cuộc đi du lịch, cuộc đi dạo, chuyến du lịch; đi du lịch
tourist t(n) khách du lịch
towards t(prep) theo hướng, về hướng
towel t(n) khăn tắm, khăn lau
tower t(n) tháp
townt(n) thị trấn, thị xã, thành phố nhỏ
toyt(n) (adj) đồ chơi, đồ trang trí; thể loại đồ chơi
trace t(v) (n) phát hiện, tìm thấy, vạch, chỉ ra, phác họa; dấu, vết
track t(n) phần của đĩa; đường mòn, đường đua
trade t(n) (v) thương mại, buôn bán; buôn bán, trao đổi
trading t(n) sự kinh doanh, việc mua bán
traditiont(n) truyền thống
traditionalt(adj) theo truyền thống, theo lối cổ
traditionally t(adv) (thuộc) truyền thống, là truyền thống
traffic t(n) sự đi lại, sự giao thông, sự chuyển động
train t(n) (v) xe lửa, tàu hỏa; dạy, rèn luyện, đào tạo
training	t(n) sự dạy dỗ, sự huấn luyện, sự đào tạo
transfer	t(v) (n) dời, di chuyển; sự di chuyển, sự dời chỗ
transformt(v) thay đổi, biến đổi
translatet(v) dịch, biên dịch, phiên dịch
translationt(n) sự dịch
transparentt(adj) trong suốt; dễ hiểu, sáng sủa
transportt(v) (n) sự vận chuyển, sự vận tải;chuyên chở, phương tiện đi lại
trapt(n) (v) đồ đạc, hành lý; bẫy, cạm bãy; bẫy, giữ, chặn lạ
travelt(v) (n) đi lại, đi du lịch, di chuyển; sự đi, những chuyến đi
travellert(n) người đi, lữ khách
treat t(v) đối xử, đối đãi, cư xử
treatmentt(n) sự đối xử, sự đối đãi, sự cư xử (với người nào)
trend t(n) phương hướng, xu hướng, chiều hướng
trial t(n) sự thử nghiệm, cuộc thử nghiệm
triangle	t(n) hình tam giác
trick t(n) (v) mưu mẹo, thủ đoạn, trò lừa gạt; lừa, lừa gạt
tript(n) (v) cuộc dạo chơi, cuộc du ngoạn; đi dạo, du ngoạn
tropical	t(adj) nhiệt đới
trouble t(n) điều lo lắng, điều muộn phiền
trousers	t(n) quần
truck t(n) rau quả tươi
truet(adj) đúng, thật
truly t(adv) đúng sự thật, đích thực, thực sự
yours trulytlời kết thúc thư (bạn chân thành của...)
trust t(n) (v) niềm tin, sự phó thác; tin, tin cậy, phó thác
truth t(n) sự thật
tryt(v) thử, cố gắng
tubet(n) ống, tuýp
tuesday tthứ 3
tunet(n) (v) điệu, giai điệu; lên dây, so dây (đàn)
tunnelt(n) đường hầm, hang
turnt(v) (n) quay, xoay, vặn; sự quay, vòng quay
twice t(adv) hai lần
twint(n) (adj) sinh đôi, tạo thành cặp; cặp song sinh
twist t(v) (n) xoắn, cuộn, quắn; sự xoắn, vòng xoắn
twisted t(adj) được xoắn, được cuộn
typet(n) (v) loại, kiểu, mẫu; phân loại, xếp loại
typical t(adj) tiêu biểu, điển hình, đặc trưng
typicallyt(adv) điển hình, tiêu biểu
tyret(n) lốp, vỏ xe
uglyt(adj) xấu xí, xấu xa
ultimate	t(adj) cuối cùng, sau cùng
ultimately t(adv) cuối cùng, sau cùng
umbrella	t(n) ô, dù
unablet(adj) không thể, không có khẳ năng
unacceptablet(adj) không thể chấp nhận
uncertaint(adj) không chắc chắn, khôn biết rõ ràng
uncle t(n) chú, bác
uncomfortable t(adj) bất tiện, không tiện lợi
unconscioust(adj) bất tỉnh, ngất đi
uncontrolledt(adj) không bị kiềm chế, không bị kiểm tra
under t(adv) dưới, ở dưới; ở phía dưới, về phía dưới
undergroundt(adj) (adv) dưới mặt đất, ngầm dưới đất; ngầm
underneath t(prep) (adv) dưới, bên dưới
understand t(v) hiểu, nhận thức
understanding t(n) trí tuệ, sự hiểu biết
underwater t(adj) (adv) ở dưới mặt nước, dưới mặt nước
undottháo, gỡ, xóa, hủy bỏ
underweart(n) quần lót
unemployed t(adj) không dùng, thất nghiệp
unemploymentt(n) sự thất nghiệp, tình trạng thất nghiệp
unexpected t(adj) bất ngờ, đột ngột, gây ngạc nhiên
unexpectedlyt(adv) bất ngờ, đột ngột, gây ngạc nhiên
unfairt(adj) gian lận, không công bằng; bất lợi
unfairly	t(adv) gian lận, không công bằng; bất lợi
unfortunatet(adj) không may, rủi ro, bất hạnh
unfortunately t(adv) một cách đáng tiếc, một cách không may
unfriendly tđối địch, không thân thiện
unhappinesst(n) nỗi buồn, sự bất hạnh
unhappy t(adj) buồn rầu, khốn khổ
uniform t(n) (adj) đồng phục; đều, giống nhau, đồng dạng
unimportantt(adj) không quan trọng
union t(n) liên hiệp, sự đoàn kết, sự hiệp nhất
uniquet(adj) độc nhất vô nhị
unitt(n) đơn vị
unite t(v) liên kết, hợp nhất, hợp lại, kết thân
unitedt(adj) liên minh, đoàn kết, chung, thống nhất
universe	t(n) vũ trụ
university t(n) trường đại học
unkindt(adj) không tốt, độc ác, tàn nhẫn
unknown t(adj) không biết, không được nhận ra
unlesst(conj) trừ phi, trừ khi, nếu không
unliketkhông giống, khác
unlikely	t(adj) không có thể xảy ra, không chắc chắn; không có thực
unloadt(v) tháo, dỡ
unlucky t(adj) không gặp may, bất hạnh
unnecessaryt(adj) không cần thiết, không mong muốn
unpleasant t(adj) không dễ chịu, khó chịu
unreasonablet(adj) vô lý
unsteady	t(adj) không đúng mực, không chắc, không vững
unsuccessfult(adj) không thành công, thất bại
untidyt(adj) không gọn gàng, không ngăn nắp, lộn xộn
until t(conj) (prep) trước khi, cho đến khi
unusual thiếm, khác thường
unwillingt(adj) không muốn làm điều gì; miễn cưỡng; bất đắc dĩ
unwillinglyt(adv) miễn cưỡng; bất đắc dĩ
up t(adv) (prep) ở trên, lên trên, lên
upont(prep) trên, ở trên
upper t(adj) cao hơn
upset t(v) (adj) làm đổ, đánh đổ
upsettingt(adj) tính đánh đổ, làm đổ
upside downt(adv) lộn ngược
upstairs	t(adv) (adj) (n) ở tên gác, cư ngụ ở tầng gác; tầng trên
upwardt(adj) lên, hướng lên, đi lên
urban t(adj) (thuộc) thành phố, khu vực
urget(v) (n) thúc, giục, giục giã; sự thúc đẩy, sự thôi thúc
urgentt(adj) gấp, khẩn cấp
uset(v) (n) sử dụng, dùng; sự dùng, sự sử dụng
usedt(adj) đã dùng, đã sử dụng
used to sthtsử dụng cái gì, sử dụng để làm cái gì
used to doing sthtsử dụng gì, sử dụng để làm gì
used to t(v) đã quen dùng
usefult(adj) hữu ích, giúp ích
useless t(adj) vô ích, vô dụng
usert(n) người dùng, người sử dụng
usual t(adj) thông thường, thường dùng
usually t(adv) thường thường
unusual t(adj) hiếm, khác thường, đáng chú ý
unusuallyt(adv) cực kỳ, khác thường
vacation	t(n) kỳ nghỉ hè, kỳ nghỉ lễ; ngày nghỉ, ngày lễ
valid t(adj) chắc chắn, hiệu quả, hợp lý
valleyt(n) thung lũng
valuable	t(adj) có giá trị lớn, đáng giá
value t(n) (v) giá trị, ước tính, định giá
vant(n) tiền đội, quân tiên phong; xe tải
variationt(n) sự biến đổi, sự thay đổi mức độ, sự khác nhau
variety t(n) sự đa dạng, trạng thái khác nhau
various t(adj) khác nhau, thuộc về nhiều loại
varyt(v) thay đổi, làm cho khác nhau, biến đổi
variedt(adj) thuộc nhiều loại khác nhau, những vẻ đa dạng
vastt(adj) rộng lớn, mênh mông
vegetablet(n) rau, thực vật
vehicle t(n) xe cộ
venture t(n) (v) sự án kinh doanh, công việc kinh doanh; liều, mạo hiểm, cả gan
version t(n) bản dịch sang một ngôn ngữ khác
vertical	t(adj) thẳng đứng, đứng
viat(prep) qua, theo đường
victimt(n) nạn nhân
victory t(n) chiến thắng
video t(n) video
viewt(n) (v) sự nhìn, tầm nhìn; nhìn thấy, xem, quan sát
village t(n) làng, xã
violence	t(n) sự ác liệt, sự dữ dội; bạo lực
violent t(adj) mãnh liệt, mạnh mẽ, hung dữ
violentlyt(adv) mãnh liệt, dữ dội
virtuallyt(adv) thực sự, hầu như, gần như
virus t(n) vi rút
visible t(adj) hữu hình, thấy được
visiont(n) sự nhìn, thị lực
visit t(v) (n) đi thăm hỏi, đến chơi, tham quan; sự đi thăm,
visitor t(n) khách, du khách
vital t(adj) (thuộc) sự sống, cần cho sự sống
vocabulary t(n) từ vựng
voice t(n) tiếng, giọng nói
volumet(n) thế tích, quyển, tập
votet(n) (v) sự bỏ phiếu, sự bầu cử; bỏ phiếu, bầu cử
waget(n) tiền lương, tiền công
waist t(n) eo, chỗ thắt lưng
waitt(v) chờ đợi
waitert(n) người hầu bàn, người đợi, người trông chờ
waitress	t(n) người nữ hầu bàn
waket(v) thức dậy, tỉnh thức
walkt(v) (n) đi, đi bộ; sự đi bộ, sự đi dạo
walking t(n) sự đi, sự đi bộ
wallt(n) tường, vách
wallett(n) cái ví
wandert(v) (n) đi lang thang; sự đi lang thang
wantt(v) muốn
wart(n) chiến tranh
warmt(adj) (v) ấm, ấm áp; làm cho nóng, hâm nóng
warmtht(n) trạng thái ấm, sự ấm áp; hơi ấm
warnt(v) báo cho biết, cảnh báo
warning t(n) sự báo trước, lời cảnh báo
washt(v) rửa, giặt
washing t(n) sự tắm rửa, sự giặt
waste t(v) (n) (adj) lãng phí, uổng phí; vùng hoang vu, sa mạc; bỏ hoang
watch t(v) (n) đồng hồ, nhìn, theo dõi, quan sát; sự canh gác, sự canh phòng
water t(n) nước
wavet(n) (v) sóng, gợn nước; gợn sóng, uốn thành sóng
wayt(n) đường, đường đi
weakt(adj) yếu, yếu ớt
weakness	t(n) tình trạng yếu đuối, yếu ớt
wealtht(n) sự giàu có, sự giàu sang
weapont(n) vũ khí
weart(v) mặc, mang, đeo
weather t(n) thời tiết
webt(n) mạng, lưới
website t(n) không gian liên tới với Internet
wedding t(n) lễ cưới, hôn lễ
wednesdayt(n) thứ 4
weekt(n) tuần, tuần lễ
weekend t(n) cuối tuần
weeklyt(adj) mỗi tuần một lần, hàng tuần
weigh t(v) cân, cân nặng
weightt(n) trọng lượng
welcome t(v) (adj) (n) chào mừng, hoan nghênh
wellt(adv) (adj) tốt, giỏi; ôi, may quá!
as well as tcũng, cũng như
westt(n) (adj) (adv) phía Tây, theo phía tây, về hướng tây
western t(adj) về phía tây, của phía tây
wett(adj) ướt, ẩm ướt
whatever	tpro (n) bất cứ thứ gì, bất kể thứ gì
wheel t(n) bánh xe
whenever	t(conj) bất cứ lúc nào, lúc nào
whereas t(conj) nhưng ngược lại, trong khi
wherever	t(conj) ở bất cứ nơi nào, ở bất cứ nơi đâu
whether t(conj) có..không; có... chăng; không biết có.. không
while t(conj) (n) trong lúc, trong khi; lúc, chốc, lát
whilstt(conj) trong lúc, trong khi
whisper t(v) (n) nói thì thầm, xì xào; tiếng nói thì thầm, tiếng xì xào
whistle t(n) (v) sự huýt sáo, sự thổi còi; huýt sáo, thổi còi
whoever tpro (n) ai, người nào, bất cứ ai, bất cứ người nào, dù ai
whole t(adj) (n) bình an vô sự, không suy suyển, không hư hỏng; toàn bộ, tất cả, toàn thể
white t(adj) (n) trắng; màu trắng
whose tpro (n) của ai
widet(adj) rộng, rộng lớn
widelyt(adv) nhiều, xa; rộng rãi
width t(n) tính chất rộng, bề rộng
wildt(adj) dại, hoang
wildlyt(adv) dại, hoang
willt(v) (n) sẽ; ý chí, ý định
willing t(adj) bằng lòng, vui lòng, muốn
willinglyt(adv) sẵn lòng, tự nguyện
unwillingt(adj) không muốn làm điều gì; miễn cưỡng; bất đắc dĩ
unwillinglyt(adv) miễn cưỡng; bất đắc dĩ
willingnesst(n) sự bằng lòng, sự vui lòng
wint(v) chiếm, đọat, thu được
